"id_tps","id_pays","nb_cas","nb_mort","nb_gueri","nb_teste"
"299","1","43035","1605","35067","128643"
"299","2","27233","612","12767","148750"
"299","3","66819","2139","44199","0"
"299","4","5725","75","4675","154640"
"299","5","13374","322","6345","171247"
"299","6","3","0","3","1820"
"299","7","134","4","127","4137"
"299","8","1304846","35307","1119366","3434801"
"299","9","115855","1738","74105","460606"
"299","10","4658","44","4521","43918"
"299","11","27711","907","25482","9348696"
"299","12","198291","1746","119415","2607733"
"299","13","73429","946","54049","1502707"
"299","14","7163","155","5282","39379"
"299","15","84523","333","82300","1894421"
"299","16","430496","6173","347849","2527134"
"299","17","249","7","234","41360"
"299","18","112870","1039","94337","2847856"
"299","19","525012","14106","32033","5419308"
"299","20","4715","85","2539","26744"
"299","21","2844","43","2515","269280"
"299","22","222","9","189","95919"
"299","23","369","0","348","187430"
"299","24","143069","8835","116505","344354"
"299","25","155","3","151","3377"
"299","26","70900","1848","35361","370168"
"299","27","8225","27","5559","330611"
"299","28","5848959","165673","5291511","21900000"
"299","29","71","1","70","5193"
"299","30","148","3","145","72550"
"299","31","97435","2091","28805","853900"
"299","32","2635","68","2426","0"
"299","33","627","1","549","56870"
"299","34","9780","102","9148","101878"
"299","35","302","0","289","207148"
"299","36","22692","433","21510","149000"
"299","37","291931","10891","232915","10293273"
"299","38","254","1","240","49176"
"299","39","4896","63","1924","32711"
"299","40","1591","100","1439","0"
"299","41","529676","14777","505243","4781863"
"299","42","86325","4634","81303","160000000"
"299","43","1191004","33829","1097576","5708597"
"299","44","5515","92","3887","0"
"299","45","123223","1546","75341","341594"
"299","46","20945","127","20630","203802"
"299","47","81844","1006","63748","611357"
"299","48","7568","131","7015","960579"
"299","49","1307","2","923","16021"
"299","50","7051","39","2021","532789"
"299","51","458229","6058","322383","2759814"
"299","52","11760","319","11086","0"
"299","53","61078","757","46774","6243359"
"299","54","5645","61","5519","88168"
"299","55","68","0","41","5160"
"299","56","133225","2282","109590","644538"
"299","57","179627","12997","154956","593959"
"299","58","110547","6442","100946","1000000"
"299","59","36358","1039","32721","509827"
"299","60","5104","85","4973","67412"
"299","61","493","0","444","0"
"299","62","7411","80","4708","395806"
"299","63","6093","119","5771","55197"
"299","64","102321","1565","63675","1557006"
"299","65","15","0","13","3417"
"299","66","497","0","494","160905"
"299","67","35","2","32","14152"
"299","68","19102","369","14000","1708992"
"299","69","1954599","44246","139140","18792403"
"299","70","10844","70","9995","78762"
"299","71","11706","53","4842","26355"
"299","72","9062","58","8939","266271"
"299","73","3702","122","3567","22362"
"299","74","76658","669","58674","1012265"
"299","75","788899","12619","493100","25010416"
"299","76","50018","320","48179","559193"
"299","77","887","1","742","77559"
"299","78","72510","1035","9989","2078062"
"299","79","18","0","17","12026"
"299","80","32","0","27","6252"
"299","81","8098","139","2242","74138"
"299","82","5597","80","0","0"
"299","83","114719","3920","104134","481015"
"299","84","268","13","245","0"
"299","85","12585","74","11041","50318"
"299","86","2419","43","2255","27486"
"299","87","4794","138","3725","24411"
"299","88","9168","232","7701","33073"
"299","89","27","0","15","0"
"299","90","102079","2820","44236","246269"
"299","91","136723","2990","31126","1326027"
"299","92","5186","25","4767","374231"
"299","93","8814902","129674","8203737","124031230"
"299","94","463007","15148","388094","5022627"
"299","95","712","13","659","0"
"299","96","749525","41034","552747","5464191"
"299","97","516915","11623","444226","3111672"
"299","98","67526","1978","23364","1781179"
"299","99","363","25","329","17173"
"299","100","323339","2721","312625","5009332"
"299","101","1144550","44683","411434","18683111"
"299","102","9780","229","5228","103904"
"299","103","114983","1880","101989","3016345"
"299","104","1003","48","815","165849"
"299","105","141305","1704","9879","2174443"
"299","106","119833","1899","109275","3645655"
"299","107","69273","1249","45414","783304"
"299","108","19842","681","0","0"
"299","109","136341","835","126902","1006712"
"299","110","65953","1196","56847","455894"
"299","111","24","0","23","71020"
"299","112","10231","121","1515","534708"
"299","113","104267","806","58538","1386191"
"299","114","1498","82","1314","32046"
"299","115","72628","995","43259","365331"
"299","116","970","5","682","9155"
"299","117","33386","266","7697","1176612"
"299","118","26544","222","15428","1216886"
"299","119","17223","249","16516","91999"
"299","120","5964","185","5399","68261"
"299","121","46209","306","33772","2385504"
"299","122","12154","42","11262","150743"
"299","123","3868","139","2937","84834"
"299","124","7917","95","5702","380009"
"299","125","4732","37","98","60432"
"299","126","7948","165","7516","94594"
"299","127","470","10","428","278091"
"299","128","4921","46","2964","18173"
"299","129","997393","97624","741340","2589508"
"299","130","88772","2006","69526","414172"
"299","131","545","2","446","51953"
"299","132","416","0","328","97576"
"299","133","26686","385","17151","108214"
"299","134","13","1","12","577"
"299","135","288211","4697","234904","3623519"
"299","136","14340","110","12505","209696"
"299","137","9","2","0","0"
"299","138","68011","1552","51362","884005"
"299","139","13449","138","12467","140422"
"299","140","208299","1215","170632","1602603"
"299","141","442458","8443","0","3711716"
"299","142","30","0","28","16397"
"299","143","1998","25","1918","1169062"
"299","144","5661","158","4225","0"
"299","145","1301","70","1147","41475"
"299","146","64996","1163","61029","705809"
